--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log
		Log file is created at : Thu Jun 19 12:03:43 2025
--------------------------------------------------------------------------------{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375} 
{'pid': 15008, 'name': 'SecurityHealthService.exe', 'username': None, 'vms': 7.95703125} 

{'pid': 15104, 'name': 'GoodixSessionService.exe', 'username': None, 'vms': 0.86328125} 

{'pid': 15120, 'name': 'svchost.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 8.43359375} 

{'pid': 15476, 'name': 'msedge.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 8.3515625} 

{'pid': 15768, 'name': 'powershell.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 60.52734375} 

{'pid': 16072, 'name': 'DellPair.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 58.21484375} 

{'pid': 16168, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 79.01953125} 

{'pid': 16292, 'name': 'CrossDeviceResume.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 38.32421875} 

{'pid': 16352, 'name': 'svchost.exe', 'username': None, 'vms': 4.44140625} 

{'pid': 16468, 'name': 'WidgetService.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 5.25390625} 

{'pid': 16532, 'name': 'svchost.exe', 'username': None, 'vms': 2.33984375} 

{'pid': 16952, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 4.015625} 

{'pid': 17292, 'name': 'chrome.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 2.2734375} 

{'pid': 17464, 'name': 'PowerToys.ColorPickerUI.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 95.17578125} 

{'pid': 17476, 'name': 'IntelConnectivityNetworkService.exe', 'username': None, 'vms': 134.734375} 

{'pid': 17664, 'name': 'svchost.exe', 'username': None, 'vms': 3.56640625} 

